Participant #	Result Type	Task # 1 (control)	Task # 1 (control)	Task # 2 (background-colors)	Task # 2 (background-colors)	Task # 3 (mistake-distraction)	Task # 3 (mistake-distraction)	Task # 4 (alert-box)	Task # 4 (alert-box)	Task # 5 (moving-textarea)	Task # 5 (moving-textarea)
		iteration 1	iteration 2	iteration 1	iteration 2	iteration 1	iteration 2	iteration 1	iteration 2	iteration 1	iteration 2
	mistakes	30	26	34	48	30	19	24	20	33	42
1	wpm	52	54	52	53	52	63	57	56	48	46
	cpm	260	268	261	266	258	314	283	281	239	230
											
	mistakes	16	9	57	24	17	11	29	29	31	33
2	wpm	64	73	75	67	70	64	63	55	51	47
	cpm	318	366	373	353	352	322	314	273	253	236
											
	mistakes	26	37	18	33	25	25	23	17	29	36
3	wpm	86	81	82	89	76	79	75	84	73	78
	cpm	417	404	411	406	380	396	377	422	363	389
											
	mistakes	15	17	28	24	17	19	25	22	32	34
4	wpm	79	76	72	73	77	77	72	71	70	75
	cpm	300	320	350	345	312	320	352	301	275	289
											
	mistakes	32	28	32	40	24	26	26	24	37	34
5	wpm	51	53	51	50	56	60	56	60	47	45
	cpm	254	269	257	248	268	305	281	300	245	241
											
	mistakes	18	11	54	29	15	10	27	28	34	32
6	wpm	62	71	81	71	72	63	64	62	50	46
	cpm	320	352	368	348	352	325	320	302	254	235
											
	mistakes	29	28	32	38	30	17	19	21	29	45
7	wpm	49	51	54	57	52	54	59	60	57	47
	cpm	248	267	267	271	258	287	298	284	248	231
											
	mistakes	17	12	42	22	16	10	18	24	29	36
8	wpm	62	74	78	65	68	62	75	78	76	74
	cpm	315	345	378	350	349	319	346	356	347	339
											
	mistakes	5	9	12	11	8	13	10	13	16	15
9	wpm	92	94	91	92	89	84	91	89	79	86
	cpm	456	465	423	442	412	399	440	426	387	408
											
	mistakes	19	12	38	28	16	19	29	26	37	31
10	wpm	64	70	79	73	70	67	62	64	52	57
	cpm	322	349	360	351	351	321	319	309	256	267
											
	mistakes	25	34	17	31	24	26	21	19	30	35
11	wpm	85	80	81	84	72	78	74	82	74	80
	cpm	419	406	412	399	359	394	364	401	361	394
											
	mistakes	12	15	26	24	16	18	26	21	35	32
12	wpm	86	79	74	79	71	74	75	74	72	80
	cpm	332	321	364	369	301	322	359	312	289	368
											
	mistakes	9	15	11	13	13	15	11	12	16	14
13	wpm	94	96	90	91	84	86	90	87	78	82
	cpm	462	472	425	458	421	432	439	415	378	409
											
	mistakes	41	32	56	49	29	24	31	28	49	52
14	wpm	49	47	42	41	46	45	49	48	39	42
	cpm	230	227	219	217	229	234	224	229	209	228
											
	mistakes	29	27	31	35	27	18	26	21	36	38
15	wpm	55	51	56	59	51	55	54	59	49	51
	cpm	259	255	260	278	249	262	258	267	249	260
